,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2022-09-07 00:00:00+00:00,5147978.06,138864.86,5009113.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}]",False,{}
2022-09-07 00:00:00+00:00,5147978.06,217164.86,4930813.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '78300.00', 'currency': 'USD', 'instrument_id': 'DT.SIM'}]",False,{}
2022-09-07 00:00:00+00:00,5147978.06,288364.86,4859613.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '78300.00', 'currency': 'USD', 'instrument_id': 'DT.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71200.00', 'currency': 'USD', 'instrument_id': 'INVH.SIM'}]",False,{}
2022-09-07 00:00:00+00:00,5147978.06,324084.86,4823893.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '78300.00', 'currency': 'USD', 'instrument_id': 'DT.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71200.00', 'currency': 'USD', 'instrument_id': 'INVH.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}]",False,{}
2022-09-09 00:00:00+00:00,5179578.06,357704.86,4821873.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '78300.00', 'currency': 'USD', 'instrument_id': 'DT.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71200.00', 'currency': 'USD', 'instrument_id': 'INVH.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '33620.00', 'currency': 'USD', 'instrument_id': 'OUT.SIM'}]",False,{}
2022-09-12 00:00:00+00:00,5202178.06,279404.86,4922773.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '71200.00', 'currency': 'USD', 'instrument_id': 'INVH.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '33620.00', 'currency': 'USD', 'instrument_id': 'OUT.SIM'}]",False,{}
2022-09-12 00:00:00+00:00,5215178.06,208204.86,5006973.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '33620.00', 'currency': 'USD', 'instrument_id': 'OUT.SIM'}]",False,{}
2022-09-13 00:00:00+00:00,5215178.06,174584.86,5040593.20,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}]",False,{}
2022-09-14 00:00:00+00:00,5161492.66,205184.86,4956307.80,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '102224.86', 'currency': 'USD', 'instrument_id': 'CSGP.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '30600.00', 'currency': 'USD', 'instrument_id': 'CPRX.SIM'}]",False,{}
2022-09-15 00:00:00+00:00,5195092.66,102960.00,5092132.66,USD,SIM-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '36640.00', 'currency': 'USD', 'instrument_id': 'SNCY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '35720.00', 'currency': 'USD', 'instrument_id': 'NLY.SIM'}, {'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '30600.00', 'currency': 'USD', 'instrument_id': 'CPRX.SIM'}]",False,{}
