Price,Close,High,Low,Open,Volume
Ticker,CELH,CELH,CELH,CELH,CELH
Date,,,,,
2022-07-15,26.956666946411133,27.376667022705078,25.3700008392334,25.52666664123535,4787100
2022-07-18,25.093332290649414,27.746667861938477,25.01333236694336,27.746667861938477,4539000
2022-07-19,25.126667022705078,25.75,24.383333206176758,25.42333221435547,3645300
2022-07-20,26.633333206176758,27.0,24.843332290649414,25.329999923706055,3600600
2022-07-21,28.360000610351562,28.360000610351562,26.69333267211914,27.376667022705078,4027500
2022-07-22,26.676666259765625,28.81999969482422,26.246667861938477,28.233333587646484,3335100
2022-07-25,27.71666717529297,27.833332061767578,26.559999465942383,26.799999237060547,2167800
2022-07-26,27.296667098999023,27.663333892822266,26.850000381469727,27.663333892822266,1564200
2022-07-27,27.996667861938477,28.46666717529297,26.98666763305664,27.53333282470703,2051400
2022-07-28,29.07666778564453,29.196666717529297,27.07666778564453,28.156667709350586,2185200
2022-07-29,29.65333366394043,29.683332443237305,28.50666618347168,28.94333267211914,1859100
2022-08-01,32.956668853759766,35.17333221435547,30.959999084472656,32.276668548583984,13649400
2022-08-02,34.53666687011719,36.58000183105469,32.516666412353516,32.8033332824707,8337600
2022-08-03,35.143333435058594,35.630001068115234,34.150001525878906,34.893333435058594,4484100
2022-08-04,36.13666534423828,36.503334045410156,34.7400016784668,35.38999938964844,3687600
2022-08-05,32.87333297729492,34.663333892822266,31.190000534057617,34.470001220703125,14392200
2022-08-08,33.77333450317383,33.96666717529297,32.62333297729492,33.38999938964844,6885300
2022-08-09,31.126667022705078,33.33333206176758,30.860000610351562,33.32666778564453,33748200
2022-08-10,34.20333480834961,34.87333297729492,32.20000076293945,32.233333587646484,9270900
2022-08-11,34.369998931884766,35.96333312988281,34.150001525878906,34.650001525878906,6345300
2022-08-12,35.0533332824707,35.063331604003906,33.026668548583984,33.823333740234375,4538100
