Price,Close,High,Low,Open,Volume
Ticker,AUB,AUB,AUB,AUB,AUB
Date,,,,,
2023-02-14,35.57783508300781,36.02244181618784,35.30921741085106,35.86497847739126,210500
2023-02-15,35.62415313720703,35.8094068547348,35.20733315612473,35.24438460631444,157000
2023-02-16,35.12396240234375,35.4481572290001,35.09617558675781,35.24437782558297,189800
2023-02-17,35.30922317504883,35.39258717196794,34.929454640955264,35.32774890029983,212200
2023-02-21,34.65156936645508,35.077650367500915,34.64230827226719,35.031337829721174,250400
2023-02-22,34.79050827026367,35.03133557124423,34.484839180467674,34.744192202049796,231900
2023-02-23,34.864620208740234,35.25365341501183,34.69789219654115,34.9757710390659,143100
2023-02-24,34.76272201538086,34.92018889232332,34.355166714423284,34.5774718543949,235500
2023-02-27,34.744197845458984,35.27217213481136,34.66083385592129,35.09617952722041,264000
2023-02-28,34.6978874206543,35.26290965828917,34.67936169591307,34.79977714002068,439700
2023-03-01,34.65156936645508,34.82755842338615,34.36442597874846,34.64230827226719,208900
2023-03-02,34.225494384765625,34.47558637286494,34.03097957182863,34.327384105852836,192200
2023-03-03,34.4663200378418,34.62378692629808,33.99392643931412,34.62378692629808,257600
2023-03-06,37.21732711791992,38.013915564758285,35.948345086762785,35.948345086762785,2481700
2023-03-07,35.883506774902344,36.95797400722141,35.85571642285773,36.89313574148478,1066000
2023-03-08,35.79087829589844,36.18917252035095,35.50373841321441,35.79087829589844,894300
2023-03-09,33.67899703979492,35.67046473327558,33.5307947764037,35.67046473327558,1189200
2023-03-10,33.493743896484375,33.929089598467066,31.85425434230399,32.58600457610701,1537900
2023-03-13,31.252185821533203,35.47595238814428,30.085089824554203,32.215498833747446,2062100
2023-03-14,33.30849075317383,34.679362619757555,32.6415823118271,33.88277763518844,1425200
2023-03-15,32.89167022705078,33.31775483358847,31.317022475668953,31.64121382838386,1148400
2023-03-16,34.05876541137695,34.51263329515281,31.90983083490755,31.96540447504789,1088800
2023-03-17,32.36369705200195,33.55857972137384,30.88167450090382,33.299226658286784,15982900
2023-03-20,32.03024673461914,33.493743658401506,31.854254115875065,32.77125805890266,1416500
2023-03-21,33.317752838134766,34.03097730481215,32.76199172379654,33.41037792381421,935100
