Price,Close,High,Low,Open,Volume
Ticker,EXPI,EXPI,EXPI,EXPI,EXPI
Date,,,,,
2023-05-18,14.19548225402832,14.331696018973119,13.63116569897697,13.709002401198765,723300
2023-05-19,14.068997383117676,14.428992362920708,13.893864339148267,14.351155660686901,632300
2023-05-22,14.82790470123291,15.06141479230273,13.976565015640062,14.049536803113554,1010200
2023-05-23,15.100335121154785,15.557625516066805,14.691691969357933,14.72088050080437,984200
2023-05-24,15.246278762817383,15.421411807918888,14.54866664181953,14.886283780687272,623300
2023-05-25,14.83763599395752,15.584868730748283,14.754934379170813,15.401952567365623,603000
2023-05-26,14.993309020996094,15.309520741977733,14.808447083893297,14.866824147026101,362700
2023-05-30,14.886282920837402,15.367897839161184,14.409532912139513,15.168441183932748,768000
2023-05-31,14.97385025024414,15.37276358233094,14.808447025541806,14.808447025541806,1194100
2023-06-01,15.110063552856445,15.26671030611466,14.672231882947678,14.886283272104702,541600
2023-06-02,15.5770845413208,15.751243297885496,15.187900116540641,15.401951503775397,690900
2023-06-05,15.148982048034668,15.53816648003856,15.119793517197543,15.38249307839167,524800
2023-06-06,15.985726356506348,16.446908251891713,15.04195529464119,15.080873641115701,916100
2023-06-07,16.23869514465332,16.598689133057547,16.053832313547534,16.209505690550394,689900
2023-06-08,19.595407485961914,19.799729985063347,17.5327339904782,17.737054633806306,5043400
2023-06-09,20.062429428100586,20.811606971684807,19.595407371081006,19.79000004948694,3405300
2023-06-12,18.534881591796875,21.025659766552742,18.379208187846302,20.17918400876982,4509600
2023-06-13,19.430004119873047,19.8240534579124,18.554340780003358,18.81704033869626,17173300
2023-06-14,18.95325469970703,19.580814157853666,18.778121655036028,19.196494627133784,2075300
2023-06-15,19.031091690063477,19.284061441105813,18.5251540437522,18.729474695109435,1688900
2023-06-16,19.118656158447266,19.47865203432349,18.515422233387476,19.16730525290254,2640000
