Price,Close,High,Low,Open,Volume
Ticker,CERT,CERT,CERT,CERT,CERT
Date,,,,,
2023-02-23,18.649999618530273,18.8799991607666,18.40999984741211,18.84000015258789,549400
2023-02-24,18.09000015258789,18.540000915527344,17.809999465942383,18.34000015258789,594400
2023-02-27,17.969999313354492,18.260000228881836,17.8700008392334,18.25,497700
2023-02-28,18.1200008392334,18.270000457763672,17.795000076293945,18.0,1013100
2023-03-01,18.440000534057617,18.8700008392334,18.200000762939453,18.280000686645508,494500
2023-03-02,21.6299991607666,21.670000076293945,19.600000381469727,20.200000762939453,2241700
2023-03-03,21.729999542236328,22.016000747680664,21.260000228881836,21.704999923706055,994800
2023-03-06,21.459999084472656,21.729999542236328,21.204999923706055,21.450000762939453,920200
2023-03-07,21.18000030517578,21.760000228881836,21.040000915527344,21.309999465942383,799000
2023-03-08,21.260000228881836,21.32900047302246,20.809999465942383,21.200000762939453,783400
2023-03-09,21.059999465942383,21.790000915527344,20.860000610351562,21.3799991607666,786500
2023-03-10,19.520000457763672,21.135000228881836,19.190000534057617,21.059999465942383,1821500
2023-03-13,20.31999969482422,20.540000915527344,19.200000762939453,19.479999542236328,805200
2023-03-14,20.709999084472656,20.969999313354492,20.530000686645508,20.610000610351562,596900
2023-03-15,20.559999465942383,20.601999282836914,19.969999313354492,20.43000030517578,1102700
2023-03-16,22.780000686645508,23.450000762939453,21.850000381469727,21.90999984741211,4771600
2023-03-17,22.399999618530273,23.31999969482422,22.075000762939453,22.760000228881836,2110500
2023-03-20,22.860000610351562,23.114999771118164,22.299999237060547,22.399999618530273,1936100
2023-03-21,24.719999313354492,24.829999923706055,23.295000076293945,23.40999984741211,29528100
2023-03-22,23.59000015258789,24.6299991607666,23.540000915527344,24.510000228881836,2395300
2023-03-23,23.3799991607666,24.18000030517578,23.139999389648438,23.739999771118164,1205700
2023-03-24,23.649999618530273,23.860000610351562,22.93000030517578,23.18000030517578,809500
