Price,Close,High,Low,Open,Volume
Ticker,GTES,GTES,GTES,GTES,GTES
Date,,,,,
2024-06-26,15.760000228881836,15.789999961853027,15.5,15.670000076293945,2486900
2024-06-27,15.760000228881836,15.835000038146973,15.670000076293945,15.789999961853027,1719800
2024-06-28,15.8100004196167,16.0049991607666,15.729999542236328,15.859999656677246,3721200
2024-07-01,15.470000267028809,15.90999984741211,15.449999809265137,15.880000114440918,2053300
2024-07-02,15.489999771118164,15.579999923706055,15.4399995803833,15.489999771118164,1635500
2024-07-03,15.6899995803833,15.729999542236328,15.470000267028809,15.550000190734863,1187100
2024-07-05,15.40999984741211,15.649999618530273,15.270000457763672,15.609999656677246,1841400
2024-07-08,15.420000076293945,15.609999656677246,15.364999771118164,15.5,1319700
2024-07-09,15.220000267028809,15.380000114440918,15.140000343322754,15.350000381469727,2181100
2024-07-10,15.25,15.270000457763672,15.140000343322754,15.210000038146973,1309300
2024-07-11,15.920000076293945,16.03499984741211,15.359999656677246,15.380000114440918,3110200
2024-07-12,16.020000457763672,16.295000076293945,16.020000457763672,16.09000015258789,2176900
2024-07-15,16.270000457763672,16.344999313354492,16.0049991607666,16.010000228881836,1774800
2024-07-16,16.969999313354492,17.010000228881836,16.25,16.34000015258789,2613800
2024-07-17,17.479999542236328,17.860000610351562,17.350000381469727,17.860000610351562,11327200
2024-07-18,17.229999542236328,17.850000381469727,17.18000030517578,17.43000030517578,6305600
2024-07-19,17.290000915527344,17.530000686645508,17.1200008392334,17.219999313354492,36627800
2024-07-22,17.549999237060547,17.56999969482422,16.9950008392334,17.3700008392334,5117900
2024-07-23,17.479999542236328,17.6200008392334,17.360000610351562,17.420000076293945,2882200
