Price,Close,High,Low,Open,Volume
Ticker,PECO,PECO,PECO,PECO,PECO
Date,,,,,
2023-05-16,26.879518508911133,27.71103587722314,26.879518508911133,27.71103587722314,307900
2023-05-17,27.318628311157227,27.35600075137444,26.748711071956915,26.972942149228146,428100
2023-05-18,27.255834579467773,27.433916530632544,26.655981844220754,27.17148006511089,441300
2023-05-19,27.15273666381836,27.649490872214024,27.030892236394234,27.649490872214024,395100
2023-05-22,27.808820724487305,27.911921069785073,26.787195555797158,27.152730543377366,2147500
2023-05-23,27.602624893188477,28.06188735599097,27.47140576974339,27.78070505235332,577900
2023-05-24,26.862180709838867,27.452662308903882,26.815317885399747,27.37767892947783,472000
2023-05-25,26.37479591369629,26.76844966409632,26.102988350733032,26.721586845975665,473600
2023-05-26,26.74033546447754,26.796571209601087,26.206089628846474,26.37479865191922,517300
2023-05-30,26.93716049194336,26.960591902588813,26.580998402107145,26.749707419077684,531500
2023-05-31,27.190221786499023,27.274576288063184,26.787195120737344,26.937158281806543,879000
2023-06-01,27.22771453857422,27.654172657786035,26.984025717054966,27.274579148637216,654100
2023-06-02,28.286834716796875,28.389935083009522,27.490154131749797,27.490154131749797,480800
2023-06-05,28.886686325073242,29.823957143084456,28.83045057654919,29.21473146891761,2215000
2023-06-06,29.50528335571289,29.627129556699614,28.642994177407456,28.774213300601016,1054000
2023-06-07,30.376943588256836,30.526906758940264,29.570890205056905,29.570890205056905,1007000
2023-06-08,30.283220291137695,30.41443762871581,29.93642931477849,30.320708405156946,920000
2023-06-09,30.45192527770996,30.480042253344852,30.13325311070055,30.18948706197033,950300
2023-06-12,31.173620223999023,31.27203678853546,30.330078784831823,30.39568744425359,1523500
2023-06-13,31.49228858947754,31.71723509136672,31.04708651489696,31.17361646411982,1677500
2023-06-14,31.59849739074707,31.94625263149318,31.354132234721618,31.513908762636845,1828200
2023-06-15,31.607908248901367,32.12483732620841,31.316546528627565,31.51391886236377,1957300
2023-06-16,32.04024124145508,32.42558867358311,31.241351360439896,32.04024124145508,23952100
2023-06-20,31.457521438598633,32.02614364882041,31.368232438659398,31.78647525101531,3719700
